1       CPU: 2,448436                   RAM: 2267                       D˜SK: 0
2       CPU: 1,978485                   RAM: 2275                       D˜SK: 7,483886
3       CPU: 10,82662                   RAM: 2277                       D˜SK: 2,524805
4       CPU: 8,792813                   RAM: 2280                       D˜SK: 0,4581909
5       CPU: 6,42097                    RAM: 2286                       D˜SK: 0,4516353
6       CPU: 8,235254                   RAM: 2279                       D˜SK: 0,1099161
7       CPU: 9,616323                   RAM: 2290                       D˜SK: 0,162603
8       CPU: 5,870445                   RAM: 2283                       D˜SK: 0,5329051
9       CPU: 9,230742                   RAM: 2280                       D˜SK: 0,1187151
10      CPU: 7,984137                   RAM: 2280                       D˜SK: 0,1033472
11      CPU: 5,398787                   RAM: 2276                       D˜SK: 0,07582703
12      CPU: 6,126876                   RAM: 2280                       D˜SK: 0,1360197
13      CPU: 7,102285                   RAM: 2284                       D˜SK: 1,872148
14      CPU: 3,402918                   RAM: 2286                       D˜SK: 0,05680794
15      CPU: 8,830246                   RAM: 2279                       D˜SK: 0,08269962
16      CPU: 7,140909                   RAM: 2278                       D˜SK: 0,0978478
17      CPU: 12,48537                   RAM: 2269                       D˜SK: 0,04694431
18      CPU: 6,249653                   RAM: 2269                       D˜SK: 0,6104385
19      CPU: 8,511282                   RAM: 2271                       D˜SK: 0,2090014
20      CPU: 4,269213                   RAM: 2275                       D˜SK: 0,08682442
21      CPU: 2,361083                   RAM: 2279                       D˜SK: 0
22      CPU: 6,573615                   RAM: 2280                       D˜SK: 0,1034569
23      CPU: 6,779863                   RAM: 2269                       D˜SK: 0,3898782
24      CPU: 8,49162                    RAM: 2274                       D˜SK: 0,2520488
25      CPU: 5,330519                   RAM: 2276                       D˜SK: 0,2325554
26      CPU: 8,075162                   RAM: 2279                       D˜SK: 0,1450674
27      CPU: 6,854167                   RAM: 2281                       D˜SK: 0,1117137
28      CPU: 19,6657                    RAM: 2265                       D˜SK: 14,5783
29      CPU: 12,58274                   RAM: 2260                       D˜SK: 0,1385131
30      CPU: 8,175995                   RAM: 2259                       D˜SK: 0,1932451
31      CPU: 6,298728                   RAM: 2249                       D˜SK: 0,115136
32      CPU: 3,226294                   RAM: 2251                       D˜SK: 0,02617563
33      CPU: 6,265177                   RAM: 2253                       D˜SK: 0,1937958
34      CPU: 8,635828                   RAM: 2256                       D˜SK: 0,5918059
35      CPU: 4,206597                   RAM: 2258                       D˜SK: 0,2555022
36      CPU: 8,553362                   RAM: 2250                       D˜SK: 0,0275136
37      CPU: 9,090896                   RAM: 2252                       D˜SK: 0,1201684
